word|phonemes
מִשְׁפָּחָה|miʃpaxa
נִמְשָׁךְ|nimʃax
עֵסֶק|asak
חַבָּלָה|xabala
הַגָּבוֹהַּ|agvoa
תּוֹלְדוֹת|toldot
אֵרוּעִים|eruˈim
הָאוֹר|aˈor
חֹפֶשׁ|ˈxofeʃ
הַיֶּדַע|aˈjeda
בְּהַדְרָגָה|beadraga
מִמּוֹצָא|mimotsa
כָּלְלוּ|kalelu
בְּכוֹחַ|beˈkoˈax
מִתְּקוּפַת|mitkufat
שִׁמְּשׁוּ|ʃimʃu
גִּישָׁה|giʃa
בְּקִרְבַת|bekirvat
מְסֻיָּמוֹת|mesujamot
נִכֶּרֶת|niˈkeret
הַמְּקוֹרִי|amekori
סֶרֶט|ˈseret
מְאַפְיְנִים|meˈafjenim
לִלְמֹד|lilmod
עֲבוֹדָתוֹ|avodato
פּוֹעֲלִים|poˈalim
מוֹלֵקוּלוֹת|moˈlekulot
בְּוַדַּאי|bevadai
הָאַלּוֹן|aˈalon
לָמוּת|lamut
גִּבְעַת|givˈat
מַדּוּעַ|maˈduˈa
הַנָּשִׁים|anaʃim
חַיּוּת|xajot
חַיּוּת|xajut
כַּעֲבֹר|kaˈavor
שָׁחֹר|ʃaxor
חֲסַר|xasar
מֶמְשָׁלָה|memʃala
הַאֲמִינוּ|heˈeˈminu
מְכֻנֶּה|mexona
מְכֻנֶּה|mexune
לְעֵיל|leˈel
כְּאֶחָד|keˈexad
הַיְּחִידוֹת|ajexidot
הַשְׁפָּעוֹת|aʃpaˈot
הָרָאשִׁית|araʃit
בָּנוֹת|banot
בָּנוֹת|bnot
בִּבְרִית|bivrit
חַיָּלֵי|xajalei
הַצְלָחָה|atslaxa
טוֹעֵן|toˈen
נַפְשִׁי|nafeʃi
נְקֵבָה|nekeva
נְקֵבָה|nikba
בָּעֶרֶב|baˈerev
שֶׁזֶּה|ʃeze
רַעֲיוֹן|raˈajon
הַמּוֹעָצָה|amoˈetsa
יוּכַל|juxal
מִשְׁטָר|miʃtar
הַלִּיגָה|aˈliga
הָאָדֹם|aˈadom
בַּמְּדִינָה|bemedina
בַּמְּדִינָה|bamedina
בַּאֲשֶׁר|baˈaʃer
אָחוּז|axuz
אָחוּז|exoz
בִּצֵּעַ|bitsa
בַּגֵּטוֹ|beˈgeto
בַּגֵּטוֹ|baˈgeto
מְנַחֵם|menaxem
חַיְדַּקִּים|xajdakim
לָשׁוּב|laʃuv
נָפַל|nafal
הַיָּד|ajad
פֻּרְסַם|pursam
שִׁעוּר|ʃiˈur
הַטּוֹבִים|atovim
רָאוּי|raˈui
מָוֶת|ˈmavet
לָקַח|lakax
נַעֲשׂוּ|naˈasu
גַּל|gal
נֶאֶלְצוּ|neˈeltsu
סֵרֵב|serav
מְצוּיִים|metsujim
לוּחַ|ˈluˈax
לִפְרֹץ|lifrots
לְבַעַל|leˈvaˈal
לְבַעַל|laˈbaˈal
נִכְתַּב|nixtav
הַמִּבְרָק|amivrak
שִׁלְטוֹנוֹ|ʃiltono
בַּשֶּׁבִי|beˈʃevi
בַּשֶּׁבִי|baˈʃevi
בַּשֶּׁבִי|biʃvi
אֲזוֹרִים|azorim
יָמֵינוּ|jemino
יָמֵינוּ|jaˈmeinu
עֲלִיַּת|alijat
בַּסֶּרֶט|beˈseret
בַּסֶּרֶט|baˈseret
עֵדוּיוֹת|edujot
בְּעָיוֹת|beˈajot
חוֹזֵר|xozer
סוּגִים|sugim
יְהוּדִית|jehudit
אֲוִירָנִיִּים|aviranijim
תּוֹדָה|toda
לָכֶם|laxem
בְּעַד|beˈad
שֶׁקֶט|ˈʃeket
שֶׁקֶט|ʃaket
שֶׁקֶט|ʃakat
לְהִשָּׁאֵר|lehiʃaˈer
לְהָבִין|leavin
הַמָּצוּי|metsuja
מָצָא|matsa
לְאֵל|leˈel
לְאֵל|laˈel
לְאֵל|leˈal
חֶדֶר|ˈxeder
חֶדֶר|xadar
מִשְׁפָּט|miʃpat
חֲבֵרִים|xaverim
הַחוּץ|axuts
הַלָּבָן|alavan
הַתְּרוּפוֹת|atrufot
מֻרְכָּב|murkav
הַגִּישָׁה|agiʃa
בְּמַעֲרֶכֶת|bemaˈaˈrexet
בְּמַעֲרֶכֶת|bamaˈaˈrexet
סַרְטָן|sartan
הַיְּחָסִים|ajaxasim
צִיּוּד|tsijud
חָמְרֵי|xomrei
כְּפַר|kfar
הֵיכַל|hejxal
בְּעוֹנַת|beˈonat
מִשְּׁנוֹת|miʃnot
הָאֵלֶקְטְרוֹנִים|aˈelekˈtronim
הָאֶנְזִים|aˈenzim
עָמַדְתִּי|emdati
עָמַדְתִּי|aˈmadeti
לְבַקֵּשׁ|levakeʃ
אַחֲרָיו|axarav
שֶׁאֶפְשָׁר|ʃeˈefʃar
שֶׁאֶפְשָׁר|ʃeˈifʃer
לָשֵׂאת|laset
לְהַצִּיג|leatsig
שֶׁנֶּעֱרַךְ|ʃeneˈerax
קָשִׁים|kaʃim
הַלֶּחֶם|hilaxem
הַחֹמֶר|aˈxomer
הַכְּלָלִית|aklalit
בַּכְּפָר|bekfar
בַּכְּפָר|bakfar
בְּסִגְנוֹן|besignon
נִצְחוֹן|nitsaxon
תְּמוּרַת|tmurat
וּלְבַסּוֹף|ulvasof
פָּעֲלוּ|paˈalu
עֲנַק|anak
יַיִן|ˈjajin
לְכוֹחוֹת|lekoxot
לְכוֹחוֹת|lakoxot
תּוֹרָה|tora
אָמָּנִים|omanim
חֶבְרָה|xavera
חֶבְרָה|xevra
הַדְּרוֹמִית|adromit
בַּאֲתַר|beˈatar
בַּאֲתַר|baˈatar
בְּהַר|bear
בְּהַר|baar
הַנָּהָר|anaar
לַקְּרָב|lekarev
לַקְּרָב|lakrav
צִיּוּר|tsijur
הֶעָרִים|aˈarim
בַּהִיסְטוֹרְיָה|bahisˈtoria
עֲשׂוּיִים|asujim
חוֹזֵה|xoze
בִּפְעִילוּת|bifˈilut
נִקְבַּע|nikba
תּוֹפָעָה|tofaˈa
הוֹפִיעוּ|hoˈfiˈu
הָאֱנוֹשִׁי|aˈenoʃi
מִשְׁתַּנֶּה|miʃtane
מֵרֹב|merov
עֵינָיו|einav
שֶׁמֶשׁ|ˈʃemeʃ
שֶׁמֶשׁ|ʃamaʃ
הַטּוֹבָה|atova
וַאֲשֶׁר|vaˈaʃer
קֶרֶן|ˈkeren
חוֹלִים|xolim
מִשְׁפָּחוֹת|miʃpaxot
יְכוֹלוֹת|jexolot
לְהַנִּיחַ|leaˈniˈax
קִבְּלָה|kibla
בַּסִּדְרָה|besidra
בַּסִּדְרָה|basidra
הַכַּלְכָּלִי|akalkali
מַחֲנוֹת|maxanot
מַחֲנוֹת|maxnot
יְחִידָה|jexida
יְדוּעִים|jeduˈim
וְרַבִּים|verabim
וְרַבִּים|veravim
כָּחֹל|kaxol
דָּרַשׁ|daraʃ
בַּמִּלִּים|bemilim
בַּמִּלִּים|bamilim
בְּגוּף|beguf
בְּגוּף|baguf
הַחֲזִית|axazit
שִׁטְחֵי|ʃitxei
שִׁטְחֵי|ʃitxi
מִדָּרוֹם|midarom
לְקַיֵּם|lekajem
הַיְּדוּעִים|ajeduˈim
עֶקְרוֹנוֹת|ekronot
יְצִירַת|jetsirat
לְהַצְלָחָה|leatslaxa
לְהַצְלָחָה|laatslaxa
מֵהַמֵּאָה|meameˈa
שִׁמּוּר|ʃimur
עֶקְרוֹן|ikaron
הַמָּסֹרֶת|amaˈsoret
הָאֱנוֹשִׁית|aˈenoʃit
הַפְרָעוֹת|afraˈot
הַחַיִל|hexil
הַחַיִל|axajil
מוֹפִיעָה|moˈfiˈa
הַלִּוְיָתָן|alivjatan
מָצָאתִי|maˈtsati
נִשְׁמָע|niʃma
יוֹשֵׁב|joʃev
יִהְיוּ|jihiju
שֶׁיָּכוֹל|ʃejaxol
הַתַּחְתּוֹן|ataxton
הָאֲחֵרוֹת|aˈaxerot
אִיּוּם|ijum
אִיּוּם|ajom
מְשַׂחֲקִים|misxakim
מְשַׂחֲקִים|mesaxakim
מַהֲלַךְ|maalax
לְהוֹכִיחַ|lehoˈxiˈax
בְּסַךְ|basax
שֶׁנַּעֲשֶׂה|ʃenaˈasa
הָאָב|aˈav
בֵּינֵיהֶן|bejnehen
לְמֶשֶׁךְ|leˈmeʃex
לְרַבּוֹת|lerabot
וּבְעִקָּר|uveˈikar
הַטִּבְעִי|ativˈi
סִדְרָה|sidra
אִיתַי|iti
הַטַּבָּח|atabax
הַטַּבָּח|aˈtevax
הַמַּעֲרָב|amaˈarav
נִשְׁלְחוּ|niʃlexu
בְּרָאשׁוּת|beraʃut
צְבָאִית|tsvaˈit
פּוֹלִיטִי|poˈliti
הַחוֹקְרִים|axokrim
הַתַּלְמוּד|atalmud
עָלֶיךָ|aˈlexa
עָלֶיךָ|alaix
הַצְּעִירָה|atseˈira
לַחֲשֹׁב|laxʃov
לִכְתֹּב|lixtov
מֻקְדָּם|mukdam
לַיְלָה|ˈlaila
שֶׁכְּבָר|ʃekvar
בִּמְחִיר|bimxir
מַאֲמָר|maˈamar
הַשּׁוּק|aʃuk
הַשּׁוּק|aʃok
אֱמֹר|amur
לְתַפְקִיד|letafkid
לְתַפְקִיד|latafkid
שֶׁנִּקְרָא|ʃenikra
בְּהַצְלָחָה|beatslaxa
בַּסִּפּוּר|besipur
בַּסִּפּוּר|basipur
טוֹעֲנִים|toˈanim
מְיֻחֶדֶת|mejuˈxedet
מִדָּה|mida
תִּקְוָה|tikva
וַאֲחֵרִים|veˈaxerim
חֲשׁוּבִים|xaʃuvim
זָהָב|zaav
הִנֵּה|hina
בִּקֵּר|biker
מִזּוֹ|mizo
מָהִיר|mahir
יִמַּס|jimas
לַמְּדִינָה|lemdina
לַמְּדִינָה|lamedina
לְשַׂחֵק|lesaxek
שִׁירַת|ʃerat
שֶׁלֶט|ʃalat
שֶׁלֶט|ˈʃelet
שֶׁהֵבִיא|ʃehevi
הַמִּשְׂחָקִים|amisxakim
הוֹרָאָה|horaˈa
הָרְחוֹבוֹת|arxovot
בַּחֶבְרָה|bexevra
בַּחֶבְרָה|baxevra
קְצִינִים|ktsinim
הַמְּקוֹמִיִּים|amekomijim
מַתָּן|matan
יְסוֹדוֹת|jesodot
לְפִיהָ|leˈfia
הַנְהָגַת|anagat
הַבּוֹלְטִים|aboltim
הַסְּרָטִים|asratim
הַמַּנְדָּט|amandat
אוֹתָנוּ|oˈtanu
לָקַחַת|laˈkaxat
הוֹלֵךְ|holex
נִרְאֲתָה|nirˈata
לְנַסּוֹת|lenasot
נֶהֱרַג|neherag
נִבְחֶרֶת|nivˈxeret
הַנִּבְחֶרֶת|anivˈxeret
זוֹהִי|ˈzohi
הַמִּסְחָר|amisxar
הַקַּו|akav
הֶעֱנִיק|heˈenik
לִבְנֵי|livni
קַצָּב|ˈketsev
קַצָּב|katsav
הֶמְשֵׁךְ|hemʃex
מְאַפְשֵׁר|meˈafʃer
מְהַוִּים|meavim
וּמִסְפַּר|umispar
הַמִּזְרָח|amizrax
הִתְקַיֵּם|hitkajem
הוֹצִיאָה|hoˈtsiˈa
הָעוֹלִים|aˈolim
הַדְּרָכִים|adraxim
דֵּמוֹקְרָטִית|demoˈkratit
גֶּשֶׁר|ˈgeʃer
טֵרוֹר|teror
נִמְשְׁכָה|nimʃexa
נֶחְשֶׁבֶת|nexˈʃevet
הַמִּשְׁלוֹחַ|amiʃˈloˈax
צָפוֹנָה|tsaˈfona
שְׁכוּנָה|ʃxuna
פָּרוּץ|paruts
הָרוֹמִית|aˈromit
לְיָם|lajam
קְשָׁרִים|kʃarim
חֲזָקָה|xazaka
אֻכְלוּסִיַּת|uxlusijat
הַטֵּלֵוִיזְיָה|ateleˈvizja
שִׂחֵק|sixek
הַחֲלֻקָּה|axaluka
הָאַקְלִים|aˈaklim
הָאִרְגּוּנִים|aˈirgunim
הַהִסְתַּדְּרוּת|ahistadrut
פּוֹעֲלֵי|poˈalei
אוֹפַנַּיִם|ofaˈnajim
מִתְרַחֶשֶׁת|mitraˈxeʃet
סַיִף|ˈsajif
פֵּרוֹת|peirot
שֶׁאִם|ʃeˈim
שֶׁאִם|ʃeˈem
רָעָב|raˈav
רָעָב|raˈev
שֶׁהֵן|ʃehen
קַבָּלַת|kabalat
הַשָּׁלוֹם|aʃalom
בַּמַּחֲצִית|bemaxatsit
בַּמַּחֲצִית|bamaxatsit
נָפְלָה|nafla
שְׁלַח|ʃalax
הַשָּׁחֹר|aʃaxor
שָׁלֵם|ʃalem
שֶׁהִגִּיעַ|ʃehiˈgiˈa
פָּרָשַׁת|paraʃat
נִתּוּחַ|niˈtuax
שִׂיא|si
בְּכַמָּה|bexama
בְּגֹבַהּ|beˈgova
בְּגֹבַהּ|baˈgova
טֶבַע|ˈteva
מִימִי|mimei
מְקוֹמִיִּים|mekomijim
מְבֻסַּס|mevusas
יְשִׁירָה|jeʃira
הַתְּנוּעוֹת|atnuˈot
מֶלַח|ˈmelax
מֶלַח|malax
סִיּוּעַ|siˈjuˈa
הָאִחוּד|aˈixud
לַצָּבָא|letsava
לַצָּבָא|latsava
חָפְשִׁי|xofʃi
יֶרִי|ˈjeri
הַתּוֹשָׁבִים|atoʃavim
בִּיצוּרִים|bitsurim
בִּיצוּרִים|bejetsurim
בִּיצוּרִים|bajetsurim
שִׁמְּשָׁה|ʃimʃa
לַסְּפִירָה|lesfira
לַסְּפִירָה|lasfira
הַלְּאֻמִּית|aleˈumit
נֶעֶרְכוּ|neˈerxu
הַהַשְׁפָּעָה|aaʃpaˈa
תּוֹרַת|torat
וּבִשְׁנַת|uviʃnat
מִשְׂחֲקֵי|misxakei
מִשְׂחֲקֵי|misxaki
יֶשְׁנָן|jeʃnan
פְּצָצוֹת|ptsatsot
עִירִיַּת|irijat
חֵקֶר|xakar
חֵקֶר|ˈxeker
זֵהֶה|zehe
נָפוֹץ|nafots
נָהוּג|nahug
הַקֹּטֶב|aˈkotev
שֶׁאַתָּה|ʃeˈata
הַכְּרוּב|akruv
יָרַד|jarad
קָדִימָה|kaˈdima
מִבֵּית|mibeit
מִבֵּית|miˈbajit
וַאֲפִלּוּ|veˈaˈfilu
לַמָּוֶת|leˈmavet
לַמָּוֶת|laˈmavet
שֶׁבַע|ˈʃeva
שֶׁבַע|saˈveˈa
עַמּוּד|amud
עוֹבֵר|over
עוֹבֵר|ubar
לִשְׁלֹחַ|liʃˈloax
הָאֱמֶת|aˈemet
בַּקַּיִץ|baˈkajits
הַלֵּב|alev
מָצְאוּ|matsˈu
קָשׁוֹת|kaʃot
הַשְּׁעָרִים|aʃeˈarim
בְּאַלִּיפוּת|baˈalifut
בְּאַלִּיפוּת|beˈalifut
בַּצָּבָא|betsava
בַּצָּבָא|batsava
לַהֲגַנָּה|leagana
לַהֲגָנָה|laagana
פֶּרֶץ|parats
אִישִׁית|iʃit
הִשְׁתַּתְּפוּ|hiʃtatfu
הִכְרִיז|hixriz
יַחַס|ˈjaxas
לַשַּׂחְקָן|lasaxkan
לַשַּׂחְקָן|lesaxkan
הַנּוֹף|anof
הַנֹּעַר|aˈnoˈar
בְּדִיקָה|bdika
הַפֵדֵרָלִי|afedeˈrali
הַקְּבוּצוֹת|akvutsot
נִבְנְתָה|nivneta
יָשִׁיר|jaʃir
קְצָרָה|katsara
מְיֻחָדוֹת|mejuxadot
מָסֹרֶת|maˈsoret
מוֹדֶרְנִית|moˈdernit
פְּלֻגּוֹת|plugot
אִסּוּר|isur
יוֹצְרִים|jotsrim
תּוֹפָעוֹת|tofaˈot
בַּשְּׂדֵרָה|basdera
בַּשְּׂדֵרָה|besdera
בְּנַחַל|beˈnaxal
בְּנַחַל|baˈnaxal
הַפִילוֹסוֹפְיָה|afiloˈsofia
הָאֵנֶרְגִּיָּה|aˈeˈnergija
אַנְאֵבוֹלִיִּים|anˈaˈbolijim
אֲבֵדוֹת|avedot
אָנֹכִי|anoxi
אָנֹכִי|anaxi
הַרְחֵק|arxek
הָאָבִיב|aˈaviv
הַמַּטֶּה|amate
לְגֹבַהּ|laˈgova
לְגֹבַהּ|leˈgova
הָרֹאשׁ|aroʃ
מוֹעֵד|moˈed
מוֹעֵד|muˈad
לִפְנוֹת|lefanot
עֲלֵיהֶן|aleihen
לַעֲזֹב|laˈazov
יְדוּעָה|jeduˈa
לְהַסְבִּיר|leasbir
תָּלוּי|taˈlui
חַיֵּיהֶם|xajeihem
הִסְתַּיֵּם|histajem
בְּרוּחַ|baˈruˈax
בְּרוּחַ|beˈruˈax
הוֹדוֹת|hodot
הַחֵלֶק|aˈxelek
הַחֵלֶק|axalak
הַהַחְלָטָה|aaxlata
בָּתִּים|batim
נִרְחָב|nirxav
קְרָבוֹת|kravot
קְרָבוֹת|krevot
פְּרָטִי|prati
אֶזְרָחוּת|ezraxut
אֶזְרָח|ezrax
חַסְרַת|xasrat
כּוֹחוֹ|koxo
הַשְׁפָּעַת|aʃpaˈat
הַשְׁפָּעַת|aʃaˈpaˈat
הַדְּמוּת|admut
בּוֹלֵט|bolet
רִמּוֹנִים|rimonim
בִּירַת|birat
מֵאַנְשֵׁי|meˈanʃei
הַנּוֹצְרִית|anotsrit
גִּרְסָה|girsa
בְּסִדְרַת|besidrat
דֻּגְמַת|dugmat
מְבֻסֶּסֶת|mevuˈseset
לְמַעֵט|lemaˈet
לְמַעֵט|lemeˈat
לְמַעֵט|lameˈat
אִשּׁוּר|iʃur
אוֹצֵר|otsar
הַמֻּסְלְמִים|amuslemim
נוֹצְרִים|notsrim
יִצֹּר|jitsur
עַרְבִים|aravim
עֲרָבִים|arevim
עַרְבִים|arvim
נַעֲלַיִם|naˈaˈlajim
הַכֶּלֶב|aˈkelev
הַצְּרָצַר|atsratsar
הַבַּיְתָה|aˈbaita
נוֹרָא|nora
בֹּקֶר|ˈboker
בֹּקֶר|boker
צִפּוֹר|tsipor
קִרְאוּ|karˈu
הַקְּטַנִּים|aktanim
שֶׁעָבַר|ʃeˈavar
זוּג|zug
כְּשֶׁהֵם|keʃehem
בַּחֶדֶר|beˈxeder
בַּחֶדֶר|baˈxeder
סָפֵק|sapak
סָפֵק|safek
וָחֵצִי|veˈxetsi
וָחֵצִי|vaˈxetsi
וְאֵלֶּה|veˈele
פְּתִיחַת|ptixat
פָּתוּחַ|paˈtuax
עָשׂוּ|asu
חֲשָׁשׁ|xaʃaʃ
אַחְרָאִי|axraˈi
הַשּׁוֹפֵט|aʃofet
הַשְּׁאֵלָה|aʃeˈela
הַשְּׁאֵלָה|aʃˈala
הֵבִין|hevin
הַשּׁוֹאָה|aʃvaˈa
הַשּׁוֹאָה|aʃoˈa
נֶפֶץ|ˈnefets
נֶפֶץ|napats
מִשְׁמַר|miʃmar
מִשְׁמַר|meʃamer
יְשִׁירוֹת|jeʃirot
יְשִׁירוֹת|jeʃirut
חֲשׁוּבָה|xaʃuva
גְּבָרִים|gvarim
טַעֲנָה|taˈana
נוֹדַע|noda
יְסוֹד|jesod
לְאָדָם|laˈadam
לְאָדָם|leˈadam
לְהִשְׁתַּתֵּף|lehiʃtatef
שַׁעֲרֵי|ʃaˈarei
שַׁעֲרֵי|seˈari
קָבוּעַ|kaˈvuˈa
חַג|xag
הַצִּבּוּרִי|atsiburi
הַסִּבָּה|asiba
סְפּוֹרְטָאִים|sportaˈim
אוֹיֵב|ojev
וְאַנְשֵׁי|veˈanʃei
הַצְּפוֹנִית|atsfonit
הַהִתְנַגְּדוּת|ahitnagdut
שֶׁכָּלַל|ʃekalal
שֶׁכָּלַל|ʃeklal
בְּסִפְרוּת|basifrut
בְּסִפְרוּת|besaparut
הַמַּעֲרָבִית|amaˈaravit
בִּצּוּעַ|biˈtsuˈa
הַקֹּדֶשׁ|aˈkodeʃ
עֲלִיָּה|alija
הִתְפַּתְּחָה|hitpatxa
הַקַּרְיֵרָה|akarˈjera
הַמּוֹדֶרְנִי|amoˈderni
הַבִּטּוּי|abiˈtui
אֲתָרֵי|atarei
דָּגִים|dagim
בְּשׁוּם|beʃum
לַסֵּפֶר|lesaper
לְסַפֵּר|leˈsefer
לְסַפֵּר|laˈsefer
מַגִּיעִים|megiˈim
גֶּבֶר|ˈgever
גֶּבֶר|gavar
לַעֲזֹר|laˈazor
קָם|kam
לְחַפֵּשׂ|lexapes
הַבָּאָה|abaˈa
בַּחֲזָרָה|baxazara
נִכְנַס|nixnas
חֶשְׁבּוֹן|xeʃbon
כִּתְבִי|kitvei
כּוֹתֵב|kotev
גּוֹרַל|goral
מַצְלִיחַ|matsˈliax
עוֹנַת|onat
אֵימָה|eima
הַתִּקְשֹׁרֶת|atikˈʃoret
בִּתְגוּבָה|bitguva
מַמְשִׁיךְ|mamʃix
הָאֶפְשָׁרוּת|aˈefʃarut
סִיֵּם|sijem
נִרְצְחוּ|nirtsexu
מַעֲשִׂי|maˈasi
וּבַעֲלֵי|uvaˈali
וּבַעֲלֵי|uvaˈalei
כֹּשֶׁר|ˈkoʃer
הֶעֱבִיר|heˈevir
הַמּוֹלֶדֶת|amoˈledet
קֵיסַר|keisar
בְּכִכַּר|bekikar
בַּכִּכָּר|bakikar
בְּמַחֲלֹקֶת|bemaxˈloket
בְּמַחֲלֹקֶת|bamaxˈloket
תּוֹשָׁבִים|toʃavim
אֶמְצָעִים|emtsaˈim
אֵרוּעֵי|eruˈei
הַתְּנָאִים|atnaˈim
הִתְקַיְּמוּ|hitkaimu
פְּלֻגַּת|plugat
יוֹצְאֵי|jotsei
לְהָפִיק|leafik
הַשִּׁירָה|aʃira
הַשִּׁירָה|heˈʃira
הַבְּנִיָּה|abnija
הַחַמְצָן|axamtsan
קַת|kat
הֲמַרְתּוּן|aˈmaraton
הַשְּׁרִיקָה|aʃrika
הַשִּׁיבָה|heˈʃiva
נִדְמֶה|nidme
הַחַלּוֹן|axalon
לוּ|lu
לָשִׂים|lasim
לָשִׂים|laʃim
הַחֶדֶר|aˈxeder
הַחֶדֶר|axder
פְּרָחִים|praxim
יוֹדְעִים|jodˈim
שֶׁאַף|ʃaˈaf
לְמֶחֱצָה|lemexetsa
לִפְעָמִים|lifˈamim
הִתְבָּרֵר|hitbarer
לְהוֹצִיא|lehotsi
לְהַחֲזִיק|leaxzik
אֶפְשָׁרִי|efʃari
בַּמַּחֲנֶה|bemaxane
בַּמַּחֲנֶה|bamaxane
בְּתָא|bata
בְּתָא|beta
בְּסֵדֶר|beˈseder
בְּנָהּ|bana
לְמָחֳרָת|lemoxorat
לְמַצֵּב|lematsav
לְמַצֵּב|lamatsav
לְסוֹף|lasof
אֲרֻכִּים|arukim
דְּמוּי|dmui
שַׂחְקַן|saxkan
פִּרְסוּם|pirsum
לְקַו|lekav
לְקַו|lakav
הַמּוֹחַ|aˈmoax
הַקּוֹדֵם|akodem
נִפָּגֵשׁ|nifgaʃ
שֶׁנּוֹעֲדוּ|ʃenoˈadu
הַשִּׁיטָה|aʃita
הָרְבִיָּה|arevija
הִצְטָרְפוּ|hitstarfu
בְּיִחוּד|bejixud
מִבְצַר|mivtsar
וְהָיְתָה|veaita
הוֹבִילָה|hoˈvila
כְּאֶל|keˈel
כְּאֵל|kaˈel
מִפְלֶגֶת|mifˈleget
הָעָבְרוּ|huˈavru
בִּתְנָאֵי|bitnai
בִּתְנַאי|bitnaˈei
עוֹלָמִית|olamit
נֵטֶל|natal
הַמַּחְתֶּרֶת|amaxˈteret
נִפְרַד|nifrad
שֶׁיָּצַר|ʃejatsar
הַסַּנְדָּק|asandak
הַפִּירָמִידוֹת|apiraˈmidot
הָרֹמַח|aˈromax
רְבִיָּה|revija
דַּעְתִּי|daˈati
הָעֶרֶב|aˈerev
הָעֶרֶב|aˈarev
רָצוֹן|ratson
לָשִׁיר|laʃir
דִּבְרֵי|divrei
דִּבְרֵי|dvarai
מִסָּבִיב|misaviv
לְמִי|lemi
מָנָה|mana
לְבָנָה|levana
לְבָנָה|levena
בִּשְׁעוֹת|baʃaˈot
בִּשְׁעוֹת|beʃaˈot
בִּשְׁעוֹת|biʃˈot
קְנֵה|kana
קְנֵה|kane
כָּזוֹ|kazo
הַקּוֹדֶמֶת|akoˈdemet
תְּלוּיָה|tluja
נָפְלוּ|naflu
מְלוֹן|malon
מָלוֹן|melon
שֶׁלָּהֶן|ʃelahen
חָלָב|xalav
חָלָב|ˈxelev
הָעֲנָק|aˈanek
הַהַצְבָּעָה|aatsbaˈa
גֶּזַע|ˈgeza
בְּאֵשׁ|beˈeʃ
בְּאֵשׁ|baˈeʃ
לִתְקֹף|litkof
לַעֲסֹק|laˈasok
לִכְאוֹרָה|lixˈora
וּבָהּ|uva
שֶׁפָּעֲלוּ|ʃepaˈalu
שֶׁנּוֹתְרוּ|ʃenotru
פַּעֲמַיִם|paˈaˈmajim
הַמַּעֲבָר|amaˈavar
הַקֶּבֶר|aˈkever
הַזּוּג|azug
הַסּוֹפֵר|asofer
דָּגָן|dagan
בִּפְרָט|bifrat
בִּבְנִיַּת|bivnijat
צֶבַע|ˈtseva
הַתְקָפָה|atkafa
מִקְדָּשׁ|mikdaʃ
שְׂפַת|sfat
הָאֱמוּנָה|aˈemuna
הַחִנּוּךְ|axinux
עֲבוֹדוֹת|avodot
נְפוֹצָה|nefotsa
מַחֲלוֹת|maxalot
חֶבְרָתִית|xevratit
תְּחוּם|txum
בְּמִבְנֵה|bemivne
בְּמִבְנֵה|bamivne
בַּקְּבוּצָה|bikvutsa
בְּפֶרֶק|beˈperek
בְּפֶרֶק|baˈperek
בְּפֶרֶק|
אַלְמֻגִּים|almogim
אֱלֹהִים|elohim
אִתּוֹ|ito
תֵּכֶף|ˈtexef
הַקְרָמַת|akramat
זַחַל|ˈzaxal
זָקֵן|zaken
קֵן|ken
קֵץ|kets
קֵץ|kats
וּמָה|uma
וְאַחֲרֵי|veˈaxarei
הַבְּרִיאוּת|abriˈut
עוֹשִׂים|osim
שְׁמַע|ʃama
מְקוֹמוֹ|mekomo
לְטַפֵּל|letapel
דַּרְכֵי|darki
בָּהִיר|bahir
אִרְגּוּנִי|irguni
נִפְתַּח|niftax
מַתְחִיל|matxil
מֻשָּׂג|musag
מְקַבֵּל|mekabel
מִקְרִים|mikrim
הַזְּמַנִּים|hzmanim
מְחוֹז|maxoz
לְהִמָּנַע|lehimana
וְהֵחֵל|veaxel
וְהֵחֵל|vehexel
הַמִּסְפָּרִים|amisparim
הַמִּסְפָּרִים|amesaprim
בְּתֹם|betom
מְיֻחָדִים|mejuxadim
לְיָמִים|lejamim
הַמְּפֻרְסָם|amefursam
הִתְנַהֲגוּת|hitnaagut
הַזָּרִים|azarim
הַגּוֹרֵם|agorem
גֹּדֶל|ˈgodel
בִּסְבִיבוֹת|bisvivot
מָצוֹר|matsor
מִפְלְגוֹת|miflagot
עֶבֶד|avad
אֲנָשָׁיו|anaʃav
בִּכְלִי|bixli
בִּכְלִי|bixlei
הַקָּרוּי|akaˈrui
הַחֶבְרָתִי|axevrati
מִשְׁתַּמֵּשׁ|miʃtameʃ
תַּחֲנוֹת|taxanot
פְּעִילוּתוֹ|peˈiluto
גֵּטוֹ|ˈgeto
לְמַיִם|leˈmajim
לְמַיִם|laˈmajim
לְהַצְבִּיעַ|leatsˈbiˈa
הַבּוֹר|abor
הַבּוֹר|abur
אֲתָרִים|atarim
הָאַנְדַּרְטָה|aˈanˈdarta
וְכַדּוֹמֶה|vexadome
בַּמֶּחְקָר|bemexkar
בַּמֶּחְקָר|bamexkar
הֶחָתוּל|axatul
שֶׁתֶן|ˈʃeten
הָאִגְרוּף|aˈigruf
בִּיּוֹלוֹגְיָה|bioˈlogia
הַטְּרוֹפִּי|aˈtropi
הַמַּעֲלוֹת|amaˈalot
בְּעַצְמִי|beˈatsmi
צְעָקָה|tsaˈaka
צְעָקָה|tseˈaka
אֵיפֹה|ˈeifo
